Date,Open,High,Low,Close,Adj Close,Volume
2018-08-30,53.119999,53.410000,52.970001,53.099998,46.879215,5576400
2018-08-31,52.459999,53.709999,52.450001,53.450001,47.188206,10892800
2018-09-04,53.439999,53.689999,53.209999,53.529999,47.258839,8235200
2018-09-05,53.470001,53.980000,53.290001,53.790001,47.488380,7966300
2018-09-06,53.660000,54.349998,53.650002,54.209999,47.859184,7803400
2018-09-07,54.200001,54.959999,54.160000,54.860001,48.433025,10231700
2018-09-10,54.939999,55.110001,54.570000,54.970001,48.530151,8621000
2018-09-11,54.830002,55.400002,54.770000,55.119999,48.662571,7873900
2018-09-12,55.200001,55.200001,54.330002,54.970001,48.530151,7297300
2018-09-13,55.119999,55.570000,54.740002,54.889999,48.459507,8566600
2018-09-14,55.000000,55.000000,54.610001,54.750000,48.335918,6827700
2018-09-17,54.700001,54.860001,54.279999,54.570000,48.176998,9277200
2018-09-18,54.480000,55.279999,54.099998,55.070000,48.618427,7569600
2018-09-19,55.220001,55.790001,54.900002,55.430000,48.936245,7451600
2018-09-20,55.599998,56.730000,55.599998,56.430000,49.819096,10582600
2018-09-21,56.549999,57.570000,56.520000,57.450001,50.719601,25800500
2018-09-24,56.939999,57.360001,56.580002,56.689999,50.048637,10616000
2018-09-25,56.980000,57.290001,56.830002,56.900002,50.234043,9445500
2018-09-26,56.770000,57.840000,56.750000,57.270000,50.560692,7757300
2018-09-27,57.099998,57.790001,57.099998,57.340000,50.622490,6606200
2018-09-28,57.389999,57.389999,56.779999,56.840000,50.181061,8975900
2018-10-01,56.910000,56.950001,55.529999,55.580002,49.068676,12726900
2018-10-02,55.549999,56.009998,55.290001,55.590000,49.077499,12680800
2018-10-03,55.799999,56.110001,55.459999,55.470001,48.971565,7383500
2018-10-04,55.779999,56.080002,55.500000,55.889999,49.342358,9722000
2018-10-05,55.950001,55.950001,55.310001,55.759998,49.227581,9734000
2018-10-08,55.820000,56.750000,55.450001,56.540001,49.916222,9623900
2018-10-09,56.830002,59.700001,56.810001,57.709999,50.949146,24855700
2018-10-10,57.669998,57.869999,55.939999,56.009998,49.448288,14190500
2018-10-11,55.700001,56.270000,54.709999,54.860001,48.433025,15316900
2018-10-12,55.709999,56.779999,55.279999,56.450001,49.836754,13980500
2018-10-15,56.369999,57.189999,56.310001,56.750000,50.101604,10175100
2018-10-16,56.939999,58.009998,56.770000,57.810001,51.037430,11731400
2018-10-17,57.900002,59.400002,57.779999,59.099998,52.176300,14631000
2018-10-18,59.000000,59.529999,58.150002,58.639999,51.770195,12184700
2018-10-19,58.389999,59.070000,58.389999,58.660000,51.787857,10180500
2018-10-22,58.930000,59.360001,58.580002,58.900002,51.999737,8680200
2018-10-23,58.360001,59.299999,58.209999,58.810001,51.920273,12834200
2018-10-24,58.570000,59.279999,57.950001,58.060001,51.258148,12189700
2018-10-25,58.290001,59.470001,57.700001,58.959999,52.052704,9569600
2018-10-26,58.040001,58.360001,57.389999,58.070000,51.266964,13367600
2018-10-29,58.680000,59.680000,57.700001,58.369999,51.531834,14412800
2018-10-30,58.430000,58.869999,57.689999,58.590000,51.726040,14230100
2018-10-31,58.980000,59.119999,58.209999,58.270000,51.443535,11560400
2018-11-01,58.299999,59.070000,58.070000,58.630001,51.761364,18772400
2018-11-02,61.990002,65.680000,61.900002,64.320000,56.784763,45573000
2018-11-05,63.930000,65.129997,63.820000,64.480003,56.926018,23242600
2018-11-06,64.300003,66.080002,64.250000,66.010002,58.276779,16065400
2018-11-07,66.290001,68.209999,66.040001,68.160004,60.174911,16465000
2018-11-08,67.779999,68.980003,67.629997,68.720001,60.669289,14081700
2018-11-09,68.489998,68.959999,68.080002,68.599998,60.563358,8637200
2018-11-12,68.440002,68.940002,67.800003,67.910004,59.954197,12789600
2018-11-13,67.940002,68.279999,67.099998,67.410004,59.512779,16637000
2018-11-14,67.300003,67.949997,66.730003,67.040001,59.503902,13350500
2018-11-15,66.709999,67.760002,66.360001,67.620003,60.018692,15246500
2018-11-16,67.300003,68.529999,67.089996,68.160004,60.498001,9287900
2018-11-19,68.099998,68.470001,67.230003,67.910004,60.276093,10855400
2018-11-20,67.389999,67.879997,66.760002,67.180000,59.628147,11208900
2018-11-21,67.470001,67.980003,66.750000,66.769997,59.264236,10978100
2018-11-23,66.239998,66.239998,65.260002,65.699997,58.314514,7779800
2018-11-26,65.980003,66.120003,65.209999,65.690002,58.305656,13066800
2018-11-27,65.459999,66.550003,65.309998,66.080002,58.651814,13169100
2018-11-28,66.180000,66.989998,65.480003,66.820000,59.308617,12867600
2018-11-29,66.680000,67.279999,66.120003,66.879997,59.361870,9605500
2018-11-30,66.860001,67.379997,66.650002,66.720001,59.219860,27308900
2018-12-03,67.370003,68.059998,66.660004,67.500000,59.912167,13834300
2018-12-04,67.470001,68.150002,66.449997,66.650002,59.157745,13555100
2018-12-06,66.129997,66.669998,65.589996,66.550003,59.068970,17222200
2018-12-07,66.169998,66.639999,65.199997,65.470001,58.110382,11057500
2018-12-10,65.470001,65.800003,64.449997,65.489998,58.128120,12148300
2018-12-11,66.220001,66.919998,65.519997,65.919998,58.509796,10903100
2018-12-12,66.000000,66.930000,66.000000,66.129997,58.696190,11115800
2018-12-13,66.290001,67.220001,66.129997,66.910004,59.388523,10016200
2018-12-14,64.440002,65.839996,63.580002,65.339996,57.994984,16834000
2018-12-17,65.000000,65.629997,64.080002,64.470001,57.222794,15143100
2018-12-18,64.769997,65.400002,64.550003,64.919998,57.622204,10523500
2018-12-19,65.160004,65.900002,63.680000,64.059998,56.858875,14390100
2018-12-20,63.610001,63.799999,61.450001,62.150002,55.163593,20264600
2018-12-21,62.310001,63.209999,61.380001,61.389999,54.489021,23524900
2018-12-24,61.480000,61.820000,60.419998,60.560001,53.752323,6323300
2018-12-26,60.950001,63.230000,60.669998,63.080002,55.989044,16646200
2018-12-27,62.619999,63.240002,61.619999,63.200001,56.095554,11308100
2018-12-28,63.310001,64.120003,63.169998,63.389999,56.264198,7711900
2018-12-31,63.770000,64.610001,63.660000,64.400002,57.160660,7689800
2019-01-02,63.680000,64.370003,63.209999,64.320000,57.089645,10094000
2019-01-03,63.459999,63.720001,61.400002,61.529999,54.613285,14390100
2019-01-04,62.400002,64.250000,62.080002,63.570000,56.423962,12694400
2019-01-07,63.349998,64.239998,62.740002,63.570000,56.423962,10337600
2019-01-08,63.939999,64.290001,63.049999,63.619999,56.468338,10809700
2019-01-09,63.650002,64.040001,62.950001,63.880001,56.699108,13080300
2019-01-10,63.610001,64.389999,63.240002,64.190002,56.974274,10397600
2019-01-11,62.290001,63.840000,61.669998,63.730000,56.565971,13805700
2019-01-14,63.349998,64.059998,62.980000,63.369999,56.246445,9929600
2019-01-15,63.580002,64.629997,63.450001,64.080002,56.876637,7930400
2019-01-16,64.199997,64.820000,63.750000,63.770000,56.601482,8091300
2019-01-17,63.680000,64.389999,63.599998,64.279999,57.054150,6767100
2019-01-18,64.809998,64.809998,63.860001,64.699997,57.426933,9835200
2019-01-22,64.900002,66.209999,64.750000,65.389999,58.039364,16414300
2019-01-23,65.879997,66.699997,65.809998,66.430000,58.962463,12372400
